"156,8","164,6","1028,0","674,2","27106,3"
"520,7","139,0","835,1","875,8","19311,0"
"170,3","168,9","987,1","731,7","28511,7"
"385,1","188,2","921,8","769,9","35404,2"
"314,6","178,4","852,6","764,4","31812,3"
"194,6","188,2","958,8","809,0","35404,2"
"165,5","155,1","1059,2","780,3","24066,6"
"174,4","176,3","987,2","731,9","31082,4"
"208,3","156,2","983,7","885,7","24402,2"
"267,5","205,8","885,9","666,4","42353,6"
"316,1","182,1","932,0","695,3","33154,6"
"324,4","191,1","794,8","786,0","36519,2"
"153,9","196,0","802,6","689,9","38416,0"
"278,3","175,4","825,2","785,0","30772,2"
"393,8","144,5","927,9","835,1","20866,4"
"324,4","188,2","958,4","808,5","35404,2"
"296,0","198,9","954,5","800,7","39577,1"
"529,2","169,5","1102,5","600,7","28743,8"
"311,5","205,5","843,3","721,9","42232,7"
"415,5","174,4","805,6","735,0","30429,3"
"396,9","171,5","1097,6","681,1","29412,3"
"465,5","223,4","913,4","582,1","49925,4"
"245,2","199,4","958,0","680,2","39772,3"
"100,0","188,2","869,3","923,2","35404,2"
"245,0","188,0","929,9","840,1","35330,5"
"161,7","160,5","985,5","882,9","25768,0"
"297,9","223,4","913,4","656,6","49925,4"
"209,2","151,5","1031,3","760,0","22954,7"
"146,0","189,1","874,2","764,4","35773,9"
"260,7","223,4","913,4","656,6","49925,4"